date,month_num,month,quarter,marketing_spend,discount_pct,lag_1,lag_2,rolling_3,revenue
2026-01-31,36,1,1,759644.528992646,11.820347535854951,28655967.77,25681646.35,26527218.573333334,22332157.321166635
2026-02-28,37,2,1,782926.9354356737,12.013320988268,22332157.321166635,28655967.77,25556590.48038888,22209089.365966696
2026-03-31,38,3,1,789145.5526143619,11.980229295312508,22209089.365966696,22332157.321166635,24399071.48571111,22350664.633166697
2026-04-30,39,4,2,798519.3915740742,12.146817559435444,22350664.633166697,22209089.365966696,22297303.773433343,21916617.96773336
2026-05-31,40,5,2,820838.71213169,12.035067135339592,21916617.96773336,22350664.633166697,22158790.65562225,22197874.71263336
2026-06-30,41,6,2,812666.1027141411,12.190332070748715,22197874.71263336,21916617.96773336,22155052.43784447,22234609.428866696
